timestep,value,numenta_score,our_score,abs_error,pred_count
0,19.761251903,1.0,1.0,0.0,0
1,20.500833287,1.0,1.0,0.0,0
2,19.9616414445,1.0,1.0,0.0,0
3,21.4902660734,1.0,1.0,0.0,0
4,20.1877394098,1.0,1.0,0.0,0
5,19.9231256718,1.0,1.0,0.0,0
6,21.6984039617,1.0,1.0,0.0,0
7,20.8787583842,1.0,1.0,0.0,0
8,18.4461996294,1.0,1.0,0.0,0
9,18.7108178448,0.47499999404,0.16666666666666663,0.30833332737333335,25
10,21.1484914518,1.0,0.09999999999999998,0.9,839
11,21.3434052847,0.300000011921,0.09999999999999998,0.20000001192100003,839
12,20.1807633164,1.0,0.033333333333333326,0.9666666666666667,866
13,20.2178209115,0.22499999404,0.033333333333333326,0.19166666070666669,927
14,20.5277318514,0.949999988079,0.06666666666666665,0.8833333214123333,896
15,19.7564630971,0.20000000298,0.06666666666666665,0.13333333631333336,896
16,20.7207964939,0.899999976158,0.06666666666666665,0.8333333094913333,896
17,18.4339250303,0.17499999702,0.09999999999999998,0.07499999702000001,864
18,21.8451169695,0.574999988079,0.09999999999999998,0.474999988079,864
19,21.0006192952,0.20000000298,0.06666666666666665,0.13333333631333336,896
20,20.524696816,0.17499999702,0.06666666666666665,0.10833333035333334,896
21,19.265288228,0.17499999702,0.06666666666666665,0.10833333035333334,896
22,18.6438219498,0.125,0.09999999999999998,0.025000000000000022,864
23,19.6373718553,0.0750000029802,0.0,0.0750000029802,929
24,20.6463069623,0.0750000029802,0.033333333333333326,0.041666669646866675,928
25,20.5348389737,0.0750000029802,0.0,0.0750000029802,929
26,19.5305646203,0.0750000029802,0.0,0.0750000029802,929
27,20.4531455753,0.10000000149,0.0,0.10000000149,929
28,21.2549931823,0.0750000029802,0.033333333333333326,0.041666669646866675,928
29,18.1051390894,0.10000000149,0.06666666666666665,0.03333333482333335,865
30,19.8024841917,0.0750000029802,0.033333333333333326,0.041666669646866675,927
31,21.0342209139,0.0500000007451,0.033333333333333326,0.016666667411766672,928
32,20.1845778819,0.10000000149,0.033333333333333326,0.06666666815666668,927
33,20.6059043517,0.0500000007451,0.033333333333333326,0.016666667411766672,928
34,20.0667055704,0.0500000007451,0.033333333333333326,0.016666667411766672,928
35,21.9674981787,0.0250000003725,0.06666666666666665,0.041666666294166654,896
36,18.218486146,0.0,0.033333333333333326,0.033333333333333326,897
37,19.9641792871,0.0,0.0,0.0,960
38,18.3656661965,0.0,0.033333333333333326,0.033333333333333326,928
39,18.6391422485,0.0,0.033333333333333326,0.033333333333333326,928
40,19.5321534017,0.0250000003725,0.0,0.0250000003725,960
41,18.622160366,0.0,0.033333333333333326,0.033333333333333326,928
42,21.8547486638,0.0,0.06666666666666665,0.06666666666666665,896
43,21.7871591069,0.0500000007451,0.06666666666666665,0.016666665921566653,896
44,19.3444385849,0.0500000007451,0.033333333333333326,0.016666667411766672,928
45,20.5589908482,0.0500000007451,0.033333333333333326,0.016666667411766672,928
46,20.1350132824,0.0500000007451,0.033333333333333326,0.016666667411766672,928
47,21.2623479221,0.0500000007451,0.033333333333333326,0.016666667411766672,928
48,20.5097824393,0.0250000003725,0.033333333333333326,0.008333332960833325,928
49,18.001009818,0.0250000003725,0.06666666666666665,0.041666666294166654,896
50,21.0526975424,0.0250000003725,0.0,0.0250000003725,929
51,20.9873924852,0.0250000003725,0.0,0.0250000003725,960
52,20.0388908223,0.0,0.0,0.0,960
53,21.6116758929,0.0250000003725,0.033333333333333326,0.008333332960833325,928
54,21.633784822800003,0.0250000003725,0.033333333333333326,0.008333332960833325,928
55,20.0956467068,0.0250000003725,0.033333333333333326,0.008333332960833325,928
56,20.4319529248,0.0,0.033333333333333326,0.033333333333333326,928
57,21.9860882877,0.0,0.06666666666666665,0.06666666666666665,896
58,19.1952809392,0.0,0.033333333333333326,0.033333333333333326,928
59,19.2984689692,0.0,0.033333333333333326,0.033333333333333326,928
60,18.7310956107,0.0,0.06666666666666665,0.06666666666666665,896
61,21.5834677566,0.0,0.06666666666666665,0.06666666666666665,896
62,20.9779535598,0.0,0.033333333333333326,0.033333333333333326,928
63,18.4225713955,0.0,0.033333333333333326,0.033333333333333326,897
64,21.9270694048,0.0,0.033333333333333326,0.033333333333333326,928
65,20.9238468326,0.0,0.0,0.0,960
66,21.4020884384,0.0,0.0,0.0,960
67,18.1926031567,0.0,0.033333333333333326,0.033333333333333326,928
68,20.0198436758,0.0,0.0,0.0,960
69,20.7943931469,0.0,0.033333333333333326,0.033333333333333326,928
70,20.1717863383,0.0,0.033333333333333326,0.033333333333333326,928
71,20.6665898628,0.0,0.033333333333333326,0.033333333333333326,928
72,21.2714962544,0.0,0.033333333333333326,0.033333333333333326,928
73,19.4973482518,0.0,0.033333333333333326,0.033333333333333326,928
74,21.3946747025,0.0,0.033333333333333326,0.033333333333333326,928
75,18.6516644191,0.0,0.06666666666666665,0.06666666666666665,896
76,19.0835442201,0.0,0.033333333333333326,0.033333333333333326,928
77,18.1733824797,0.0,0.033333333333333326,0.033333333333333326,897
78,19.4577072453,0.0,0.0,0.0,959
79,19.5196381793,0.0,0.0,0.0,959
80,21.221082388800003,0.0,0.0,0.0,960
81,20.6125226812,0.0,0.0,0.0,960
82,19.7468902326,0.0,0.0,0.0,960
83,20.6084559145,0.0,0.033333333333333326,0.033333333333333326,928
84,18.2111334021,0.0,0.06666666666666665,0.06666666666666665,896
85,18.7210861441,0.0,0.06666666666666665,0.06666666666666665,896
86,20.507791421,0.0250000003725,0.033333333333333326,0.008333332960833325,928
87,20.5654672769,0.0250000003725,0.033333333333333326,0.008333332960833325,928
88,21.0965386348,0.0250000003725,0.033333333333333326,0.008333332960833325,928
89,19.6119990362,0.0250000003725,0.033333333333333326,0.008333332960833325,928
90,20.8902163865,0.0250000003725,0.033333333333333326,0.008333332960833325,928
91,20.7359213302,0.0250000003725,0.033333333333333326,0.008333332960833325,928
92,21.8535735135,0.0250000003725,0.033333333333333326,0.008333332960833325,928
93,18.8605209057,0.0250000003725,0.033333333333333326,0.008333332960833325,928
94,20.206718255,0.0250000003725,0.0,0.0250000003725,960
95,20.4070577684,0.0250000003725,0.0,0.0250000003725,960
96,21.994591539699996,0.0,0.06666666666666665,0.06666666666666665,896
97,18.804736568699997,0.0250000003725,0.06666666666666665,0.041666666294166654,896
98,20.0928720799,0.0250000003725,0.033333333333333326,0.008333332960833325,928
99,19.3847412309,0.0250000003725,0.033333333333333326,0.008333332960833325,928
